Station ID;Navn;Adresse;Latitude;Longitude;Plasser;
132;Nøstetorget;Sukkerhusbryggen;60.39222475946063;5.314881116119068;36;
22;Skur 11;Bryggen 13;60.396384231131684;5.324169337618514;30;
8;Haukeland sykehus;Jonas Lie vei;60.373637920628255;5.35659456239955;19;
33;Høgskulen på Vestlandet;Inndalsveien 28;60.369179844976586;5.349443793165847;25;
49;Studentsenteret UIB;Parkveien 1;60.38719801795013;5.322980046239536;30;
3;Grieghallen;Edvard Griegsplass;60.38819667374428;5.3285641370894155;16;
34;Cornerteateret;Thormøhlens gate;60.382595986001995;5.325332343545597;25;
7;Neumannsgate;Neumannsgate;60.39138580667719;5.319194867192266;31;
116;Lysverket;Rasmus Meyers alle;60.389542524377724;5.329622268545791;24;
75;Akvariet;Nordnesbakken 4;60.39987652272946;5.304686307890734;18;
5;Solheimsviken;Solheims gaten;60.377068234898445;5.335538507194286;10;
117;Verftet;Ved USF;60.395877002094046;5.307755827707297;19;
58;Tårnplass;Vaklendorfsgaten 2;60.39375532002469;5.3217920958013565;25;
